City,County,State,Timezone,Continent
Adjuntas,Adjuntas,Puerto Rico,Puerto_Rico,America
Aguada,Aguada,Puerto Rico,Puerto_Rico,America
Aguadilla,Aguadilla,Puerto Rico,Puerto_Rico,America
Maricao,Maricao,Puerto Rico,Puerto_Rico,America
Anasco,Añasco,Puerto Rico,Puerto_Rico,America
Arecibo,Arecibo,Puerto Rico,Puerto_Rico,America
Bajadero,Arecibo,Puerto Rico,Puerto_Rico,America
Barceloneta,Barceloneta,Puerto Rico,Puerto_Rico,America
Boqueron,Cabo Rojo,Puerto Rico,Puerto_Rico,America
Cabo Rojo,Cabo Rojo,Puerto Rico,Puerto_Rico,America
Penuelas,Peñuelas,Puerto Rico,Puerto_Rico,America
Camuy,Camuy,Puerto Rico,Puerto_Rico,America
Castaner,Lares,Puerto Rico,Puerto_Rico,America
Sabana Grande,Sabana Grande,Puerto Rico,Puerto_Rico,America
Ciales,Ciales,Puerto Rico,Puerto_Rico,America
Utuado,Utuado,Puerto Rico,Puerto_Rico,America
Dorado,Dorado,Puerto Rico,Puerto_Rico,America
Ensenada,Guánica,Puerto Rico,Puerto_Rico,America
Florida,Florida,Puerto Rico,Puerto_Rico,America
Garrochales,Arecibo,Puerto Rico,Puerto_Rico,America
Guanica,Guánica,Puerto Rico,Puerto_Rico,America
Guayanilla,Guayanilla,Puerto Rico,Puerto_Rico,America
Hatillo,Hatillo,Puerto Rico,Puerto_Rico,America
Hormigueros,Hormigueros,Puerto Rico,Puerto_Rico,America
Isabela,Isabela,Puerto Rico,Puerto_Rico,America
Jayuya,Jayuya,Puerto Rico,Puerto_Rico,America
Lajas,Lajas,Puerto Rico,Puerto_Rico,America
Lares,Lares,Puerto Rico,Puerto_Rico,America
Las Marias,Las Marías,Puerto Rico,Puerto_Rico,America
Manati,Manatí,Puerto Rico,Puerto_Rico,America
Moca,Moca,Puerto Rico,Puerto_Rico,America
Rincon,Rincón,Puerto Rico,Puerto_Rico,America
Quebradillas,Quebradillas,Puerto Rico,Puerto_Rico,America
Mayaguez,Mayagüez,Puerto Rico,Puerto_Rico,America
Mayaguez,Mayagüez,Puerto Rico,Puerto_Rico,America
San German,San Germán,Puerto Rico,Puerto_Rico,America
San Sebastian,San Sebastián,Puerto Rico,Puerto_Rico,America
