"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"00601","18.18004","-66.75218","Adjuntas","PR","Puerto Rico","TRUE","","17242","111.4","72001","Adjuntas","{'72001':99.43,'72141':0.57}","Adjuntas|Utuado","72001|72141","FALSE","FALSE","America/Puerto_Rico"
"00602","18.36073","-67.17517","Aguada","PR","Puerto Rico","TRUE","","38442","523.5","72003","Aguada","{'72003':100}","Aguada","72003","FALSE","FALSE","America/Puerto_Rico"
"00603","18.45439","-67.12202","Aguadilla","PR","Puerto Rico","TRUE","","48814","667.9","72005","Aguadilla","{'72005':100}","Aguadilla","72005","FALSE","FALSE","America/Puerto_Rico"
"00606","18.16724","-66.93828","Maricao","PR","Puerto Rico","TRUE","","6437","60.4","72093","Maricao","{'72093':94.88,'72121':1.35,'72153':3.78}","Maricao|Yauco|Sabana Grande","72093|72153|72121","FALSE","FALSE","America/Puerto_Rico"
"00610","18.29032","-67.12243","Anasco","PR","Puerto Rico","TRUE","","27073","312.0","72011","Añasco","{'72003':0.55,'72011':99.45}","Añasco|Aguada","72011|72003","FALSE","FALSE","America/Puerto_Rico"
"00612","18.40699","-66.70803","Arecibo","PR","Puerto Rico","TRUE","","60303","382.8","72013","Arecibo","{'72013':99.89,'72017':0.11}","Arecibo|Barceloneta","72013|72017","FALSE","FALSE","America/Puerto_Rico"
"00616","18.41753","-66.66814","Bajadero","PR","Puerto Rico","TRUE","","10765","368.9","72013","Arecibo","{'72013':100}","Arecibo","72013","FALSE","FALSE","America/Puerto_Rico"
"00617","18.44124","-66.55917","Barceloneta","PR","Puerto Rico","TRUE","","23974","625.0","72017","Barceloneta","{'72017':99.43,'72054':0.57}","Barceloneta|Florida","72017|72054","FALSE","FALSE","America/Puerto_Rico"
"00622","17.99174","-67.15248","Boqueron","PR","Puerto Rico","TRUE","","6578","104.6","72023","Cabo Rojo","{'72023':100}","Cabo Rojo","72023","FALSE","FALSE","America/Puerto_Rico"
"00623","18.08355","-67.15417","Cabo Rojo","PR","Puerto Rico","TRUE","","42427","437.8","72023","Cabo Rojo","{'72023':100}","Cabo Rojo","72023","FALSE","FALSE","America/Puerto_Rico"
"00624","18.06465","-66.71823","Penuelas","PR","Puerto Rico","TRUE","","22707","234.7","72111","Peñuelas","{'72111':92.53,'72113':7.47}","Peñuelas|Ponce","72111|72113","FALSE","FALSE","America/Puerto_Rico"
"00627","18.419","-66.86033","Camuy","PR","Puerto Rico","TRUE","","32222","292.8","72027","Camuy","{'72027':100}","Camuy","72027","FALSE","FALSE","America/Puerto_Rico"
