K,Execution_time
2,0 days 00:03:16.185540
4,0 days 00:01:49.343967
6,0 days 00:01:16.177001
8,0 days 00:00:57.991996
10,0 days 00:00:48.983011
12,0 days 00:00:41.801010
14,0 days 00:00:35.849419
16,0 days 00:00:31.397001
18,0 days 00:00:28.341000
20,0 days 00:00:25.691999
22,0 days 00:00:24.162006
24,0 days 00:00:21.961994
26,0 days 00:00:20.502001
28,0 days 00:00:19.077000
30,0 days 00:00:17.613000
32,0 days 00:00:16.983001
34,0 days 00:00:16.131002
36,0 days 00:00:15.456701
38,0 days 00:00:14.552996
40,0 days 00:00:13.970031
42,0 days 00:00:13.569999
44,0 days 00:00:13.241975
46,0 days 00:00:12.655000
48,0 days 00:00:12.247028
50,0 days 00:00:11.716001
52,0 days 00:00:11.216966
54,0 days 00:00:11.005966
56,0 days 00:00:10.609031
58,0 days 00:00:10.185997
60,0 days 00:00:09.960000
62,0 days 00:00:09.596001
64,0 days 00:00:09.561999
66,0 days 00:00:09.470696
68,0 days 00:00:09.169000
70,0 days 00:00:08.790031
72,0 days 00:00:08.459968
74,0 days 00:00:08.359030
76,0 days 00:00:08.227000
78,0 days 00:00:07.996999
80,0 days 00:00:07.926000
82,0 days 00:00:07.791001
84,0 days 00:00:07.607969
86,0 days 00:00:07.515032
88,0 days 00:00:07.341002
90,0 days 00:00:07.382003
92,0 days 00:00:07.347002
94,0 days 00:00:07.113000
96,0 days 00:00:06.946970
98,0 days 00:00:06.931999
