K,Execution_time(Minutes)
2,3.269759
4,1.82239945
6,1.2696166833333333
8,0.9665332666666667
10,0.8163835166666666
12,0.6966835
14,0.5974903166666666
16,0.52328335
18,0.47235
20,0.4281999833333333
22,0.4027001
24,0.3660332333333333
26,0.34170001666666666
28,0.31795
30,0.29355
32,0.2830500166666667
34,0.2688500333333333
36,0.25761168333333334
38,0.24254993333333333
40,0.23283385
42,0.22616665
44,0.22069958333333334
46,0.21091666666666667
48,0.20411713333333334
50,0.19526668333333333
52,0.18694943333333333
54,0.1834327666666667
56,0.17681718333333332
58,0.16976661666666668
60,0.166
62,0.15993335
64,0.15936665
66,0.15784493333333333
68,0.15281666666666668
70,0.1465005166666667
72,0.14099946666666666
74,0.1393171666666667
76,0.13711666666666666
78,0.13328331666666665
80,0.1321
82,0.12985001666666665
84,0.12679948333333332
86,0.12525053333333333
88,0.12235003333333333
90,0.12303338333333333
92,0.12245003333333333
94,0.11855
96,0.11578283333333333
98,0.11553331666666668
