K,C_Avg,Execution Time (minutes)
2,1.205,3.1573212833333333
5,1.314,1.4299505166666668
10,1.347,0.8353338333333333
15,1.375,0.5735333166666667
20,1.371,0.4371505333333333
25,1.373,0.35660001666666663
30,1.404,0.2989172
35,1.366,0.26796616666666667
40,1.364,0.23863383333333335
45,1.351,0.21993371666666667
50,1.374,0.19691668333333334
55,1.388,0.1811661
60,1.381,0.16754998333333332
65,1.357,0.16189986666666664
70,1.385,0.14976715000000002
75,1.382,0.1402999666666667
80,1.386,0.13419999999999999
85,1.381,0.12636630000000001
90,1.346,0.1258334
95,1.369,0.11860041666666667
100,1.359,0.11579941666666667
